,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
1178,BiggMeezy#6702881,168,4611,1.159125189,12,43,7,111,9779,323,515,2.410447761,134,609,63884,595720,291.7783282,73663,3978
1179,Fissy#9456851,408,5697,0.63278907,14,53,10,30,15341,726,849,2.719101124,267,1302,56456,907361,237.4983471,71797,9003
1180,BulldogFan-GIRL#4382682,4,13,0.393939394,2,1,1,0,75,6,2,6.0,1,7,469,1480,97.8,544,33
1182,最弱#4082677,628,19437,0.995645938,14,156,9,9,76115,1320,3362,2.088607595,632,3397,311405,3010022,311.0745455,387520,19522
1184,Slickwicked#1129481,68,1675,1.083441138,11,26,11,12,4968,171,329,2.164556962,79,262,19551,248039,254.7964912,24519,1546
1185,Philisdiller,0,19,0.612903226,2,1,1,0,80,1,3,1.0,1,4,445,3035,372.6,525,31
1186,brodyandarcy418#2334592,561,20483,0.955542079,23,167,7,110,33685,1542,3831,4.190217391,368,2717,138481,3494003,177.285214,172166,21436
1187,corazzon21#7253996,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,100,0.0,0,3
1189,Eblis#7674860,32,379,0.875288684,6,12,2,8,1566,43,85,6.142857143,7,109,9987,69550,171.0697674,11553,433
1190,BallChinius95#7208215,12,2760,1.003271538,8,142,4,110,618,1152,696,96.0,12,43,2561,2499019,3.349479167,3179,2751
1191,JayMufasa#6171372,618,9655,0.880850287,14,88,16,111,18371,1304,1401,2.405904059,542,831,121569,1343495,260.6443252,139940,10961
1192,Spaced_Luis#6777222,3,1,0.0625,1,1,0,0,1,3,0,3.0,0,0,17,975,22.2,18,16
1194,simi_2004#9029480,5,127,1.133928571,8,6,4,0,521,12,21,1.714285714,7,23,1975,23565,162.65,2496,112
1195,anon52181515#6248211,12,136,0.727272727,6,7,3,0,464,23,18,3.833333333,6,25,2850,34375,139.9565217,3314,187
1197,ODubbzz95#2149602,316,5718,0.869657795,12,112,16,111,14864,1036,866,2.994219653,346,1103,72370,1758097,166.2764479,87234,6575
1198,Zmann05#7431962,46,147,0.653333333,0,17,0,6,0,121,22,121.0,0,0,0,121625,0.0,0,225
1200,Jhonatan#5916093,0,56,0.608695652,0,13,0,0,0,46,10,46.0,0,0,0,75100,0.0,0,92
1201,black bird#2033672,19,2730,2.4375,19,38,7,9,5863,69,560,1.815789474,38,539,26327,476365,199.3478261,32190,1120
1202,freckled-whale#9045638,1,1,0.0625,1,1,0,0,5,1,0,1.0,0,1,94,200,199.8,99,16
1203,Clarence#9250709,300,9950,0.985831765,12,133,14,17,32115,852,2179,3.579831933,238,3364,126284,2229547,141.9816901,158399,10093
1204,lazaruss99#7345717,78,292,0.744897959,10,24,7,110,284,183,54,22.875,8,16,1295,211625,20.47213115,1579,392
1206,4lienne_cD#3358909,264,8560,1.160677966,22,62,12,22,33070,543,1441,2.225409836,244,1615,108340,1038980,254.0364641,141410,7375
1208,odwfkerfreosas#4324694,4,105,0.755395683,6,7,2,0,186,13,22,3.25,4,33,1223,30330,194.3538462,1409,139
1209,Skarv3n#2408532,0,0,0.0,0,1,0,110,0,2,0,2.0,0,4,0,525,0.0,0,3
1210,Puaka904#3587455,0,29,0.408450704,0,6,0,0,0,21,5,21.0,0,0,0,26118,0.0,0,71
1211,GoofierFlyer4#6264574,95,742,1.078488372,6,39,4,21,1192,220,137,24.44444444,9,67,5624,506279,22.65272727,6816,688
1213,davide80ian#3162604,158,1770,0.501558515,7,67,4,111,5185,872,272,19.81818182,44,548,34090,1087154,32.57477064,39275,3529
1214,MackerYNWA#5475949,37,1353,0.945492662,11,26,6,40,6176,127,211,2.953488372,43,344,20313,253301,169.176378,26489,1431
1215,I am Spartan#5488105,330,5440,0.975609756,16,109,5,111,9221,969,958,11.01136364,88,518,58967,1696429,66.43034056,68188,5576
1216,Buztard#4298226,0,104,1.094736842,0,14,1,110,0,51,23,51.0,0,0,0,92240,0.0,0,95
1218,BLACK DRAGONS#1740780,0,397,0.800403226,7,23,1,110,37,141,73,141.0,1,26,274,198281,1.919148936,311,496
