,name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths
1282,Peaks#1710918,13,29,0.69047619,0,6,0,11,0,20,8,20.0,0,0,0,22750,0.0,0,42
1283,Ravensphere11#4952365,5,13,0.196969697,1,2,0,0,14,11,0,11.0,0,5,123,3950,111.0,137,66
1284,xxXKDXxx#4033625,26,173,0.397701149,5,9,4,110,937,55,32,5.0,11,98,13197,42366,215.5527273,14134,435
1285,Affy93,4,31,0.360465116,4,2,2,0,121,8,6,4.0,2,8,1076,5315,315.9,1197,86
1288,stepdad#2799753,599,8320,0.874868559,14,73,8,13,28078,1028,1403,3.879245283,265,1497,141873,1163925,205.9324903,169951,9510
1289,ImminentCupid45#8137814,2,18,0.367346939,3,2,2,110,25,14,3,7.0,2,3,281,4300,76.67142857,306,49
1290,Raku-paN#9928359,1,77,0.762376238,9,4,3,0,272,10,4,2.5,4,13,1296,15700,176.16,1568,101
1291,TendingFlame873#5641179,4,6,0.085714286,1,1,1,0,33,5,0,5.0,1,4,415,700,316.2,448,70
1292,XxGuccixalotyxX#5281679,0,4,0.333333333,0,1,0,0,0,2,1,2.0,0,0,0,1125,0.0,0,12
1294,Bazezass#3665471,0,56,0.533333333,0,8,0,12,0,35,9,35.0,0,0,0,35866,0.0,0,105
1296,Uravold#3082139,3,75,0.590551181,5,4,2,110,251,13,16,4.333333333,3,12,949,13950,161.1692308,1200,127
1297,Peekaboo#9372473,85,6259,1.083434308,14,59,23,35,26018,283,791,1.538043478,184,1443,105710,998380,297.8459364,131728,5777
1298,juggerwicho#1103368,0,5,0.5,0,1,0,0,0,5,0,5.0,0,0,0,3250,0.0,0,10
1299,Bopfiles#2904550,0,57,0.387755102,0,7,0,0,0,33,6,33.0,0,6,0,32357,0.0,0,147
1301,Lucky_#3820176,0,3,3.0,0,1,0,0,0,1,1,1.0,0,0,0,2250,0.0,0,1
1304,STLBEATZ,130,2199,1.111167256,17,27,5,5,5798,294,308,1.803680982,163,397,24698,268209,209.4510204,30496,1979
1305,kailaras#7229848,0,2,0.166666667,0,3,0,0,0,7,1,7.0,0,0,0,8525,0.0,0,12
1306,ziller_filler#6346607,0,24,0.52173913,0,4,0,110,0,19,5,19.0,0,30,0,15860,0.0,0,46
1307,Ray_26_6742457,144,3537,0.956462953,10,38,9,31,7407,302,651,2.141843972,141,415,19347,473214,283.710596,26754,3698
1308,Mich_K92,3,82,0.598540146,7,4,3,0,346,11,12,2.2,5,22,1838,12475,334.9636364,2184,137
1310,Diegoortiz2050#1974630,7,7,0.184210526,2,1,3,0,34,13,1,2.6,5,2,732,1550,234.4615385,766,38
1312,King#6922910,68,2370,0.766990291,10,44,8,110,7328,322,450,4.075949367,79,596,40953,615580,152.6198758,48281,3090
1315,MalamutLeMit#5400527,4,23,0.291139241,2,5,0,0,17,30,4,30.0,0,1,238,17875,9.1,255,79
1316,matlord77#9411460,4,30,0.576923077,4,2,1,30,133,5,9,5.0,1,10,933,5675,207.84,1066,52
1318,AshxCobra#5522977,0,64,0.666666667,0,9,0,0,0,29,8,29.0,0,0,0,46224,0.0,0,96
1320,PereaNK_9994454,163,386,0.635914333,10,27,8,110,182,184,64,16.72727273,11,17,1166,264488,22.6076087,1348,607
1321,lilbabynuggs#2406678,34,534,0.740638003,7,14,11,0,2439,86,88,2.324324324,37,144,12155,84998,255.9139535,14594,721
1322,GxvenMxinz#2397676,1,38,0.974358974,4,6,1,0,50,17,5,17.0,1,2,216,22625,18.31764706,266,39
1323,IgoToutEstBON#5029004,318,6995,1.195930928,16,75,8,39,26643,559,1143,2.661904762,210,1351,91997,1178334,207.2951699,118640,5849
1324,Faze jax5#8384440,88,1436,0.972899729,15,28,8,110,4148,208,327,2.971428571,70,206,16173,272624,133.0903846,20321,1476
1325,Flixjule,0,172,1.186206897,0,21,2,14,0,67,27,67.0,0,0,0,177490,0.0,0,145
1327,fizz-elims#5974296,21,746,1.13030303,8,37,2,111,453,233,156,38.83333333,6,260,1425,444122,14.72188841,1878,660
1328,PowerLJR#9902279,0,140,0.848484848,0,23,0,110,0,82,13,82.0,0,2,0,192950,0.0,0,165
1331,xX1christianm1Xx#6814080,20,25,0.531914894,0,6,1,0,0,21,4,21.0,1,0,0,25950,0.0,0,47
1332,ShockAndAwe6625#2229908,1,21,0.75,3,1,2,0,108,3,7,1.5,2,13,692,2625,269.2,800,28
1333,GodzillaBjj#6611492,2,24,0.461538462,3,2,1,0,94,4,5,4.0,1,9,729,4020,311.55,823,52
1334,HeliosNight36#5727186,3,28,0.394366197,2,3,2,0,161,14,8,14.0,1,11,617,8716,144.3428571,778,71
1336,Slim_Driven1#6298105,78,704,0.693596059,12,19,5,21,2583,135,109,2.547169811,53,169,14711,151660,205.0666667,17294,1015
1337,maomix_79#3633251,1,3,1.5,0,1,0,0,0,1,1,1.0,0,0,0,1150,0.0,0,2
1339,loudjass60,91,2956,1.091580502,13,36,5,111,9011,214,373,2.377777778,90,443,29174,437390,263.753271,38185,2708
1341,conicolt#8511349,3,16,0.432432432,4,1,1,0,100,6,6,6.0,1,8,774,2159,233.4,874,37
1342,NemoTaker#9224587,164,2954,0.962528511,9,43,7,3,11975,338,551,3.017857143,112,468,46860,604525,217.6366864,58835,3069
1343,bendmes321#1047575,0,1,0.125,0,1,0,110,0,4,0,4.0,0,0,0,450,0.0,0,8
1345,WLD Cycl0ne#7832156,101,1641,0.703687822,8,30,9,110,5999,230,295,2.987012987,77,419,24566,314521,154.5365217,30565,2332
1346,207LucasM#4976565,442,5892,1.004774898,15,53,13,110,19921,901,1001,3.647773279,247,689,55870,917455,134.5485017,75791,5864
1348,Kr_salte#4786394,94,2928,1.126587149,12,37,7,110,7436,223,493,2.593023256,86,380,38179,458128,273.5865471,45615,2599
1349,patrickrouhie117#5992207,1,1,0.052631579,0,1,1,0,0,8,0,8.0,1,0,40,1150,96.225,40,19
1350,Pugsan_Tokyo#6760326,4,18,0.486486486,3,1,1,0,64,5,5,5.0,1,2,482,2150,145.08,546,37
1351,Goughy919993#5854457,0,60,0.857142857,0,9,0,110,0,27,9,27.0,0,25,0,47187,0.0,0,70
1356,Faze_AyaanBeast#5213549,41,2440,0.93810073,12,75,10,111,3945,787,480,16.39583333,48,327,16735,1180974,37.64218551,20680,2601
1357,SYNTHEX#5819004,6,311,1.160447761,11,9,4,6,1265,16,65,2.0,8,63,5117,47495,279.975,6382,268
1358,AaZz0909werterg#2017627,0,1,0.25,0,1,0,0,0,2,0,2.0,0,0,0,450,0.0,0,4
1359,jacksonrowe2021#2217510,0,1,0.5,0,1,0,0,0,1,0,1.0,0,0,0,450,0.0,0,2
1360,Daniel Z401538,0,99,0.543956044,0,12,5,110,0,79,12,79.0,0,90,0,73125,0.0,0,182
1361,jujuondabeat59#1054429,7,110,0.464135021,3,8,5,0,120,27,13,3.375,8,7,2160,40395,212.4444444,2280,237
1362,Kamodo420,8,1325,1.092333059,9,79,2,110,513,425,323,85.0,5,117,2493,1230002,10.41741176,3006,1213
1363,XxDollarplustaxX#2246442,25,194,1.108571429,9,6,3,0,795,32,38,6.4,5,13,3137,23860,232.6875,3932,175
1364,total_auto#4076820,1,4,0.036363636,0,2,0,110,0,48,1,48.0,0,0,2,7387,4.825,2,110
1366,052397#4248023,0,5,0.3125,0,1,0,0,0,3,1,3.0,0,0,0,3400,0.0,0,16
1368,PlainComic6#3006619,120,3802,0.984464008,12,53,10,110,10529,419,1050,5.109756098,82,816,44488,900485,125.5747017,55017,3862
1370,Slimjim822#5928879,0,1,0.25,0,1,0,0,0,2,0,2.0,0,0,0,845,0.0,0,4
1371,Jalennn2x__#5002516,12,27,0.771428571,0,4,0,1,0,18,4,18.0,0,0,0,16750,0.0,0,35
1372,ABC#7706517,1,1,0.333333333,1,1,0,0,3,1,0,1.0,0,0,26,250,138.0,29,3
1373,maxedgar21#6187114,460,2974,0.619583333,10,36,10,110,11425,769,592,2.980620155,258,531,61362,426379,211.383355,72787,4800
1374,Shaham#9721541,0,8,0.8,0,3,0,0,0,5,1,5.0,0,0,0,10100,0.0,0,10
1375,invictus080893#6902950,129,838,0.672012831,6,68,4,110,201,573,152,71.625,8,187,1312,1105260,4.192670157,1513,1247
1376,stormy_shaper#9371393,3,30,0.810810811,5,2,1,0,109,6,8,2.0,3,10,311,3550,103.3,420,37
1377,blackpanthere152#1673324,155,2512,1.003595685,12,36,11,19,8653,309,341,3.961538462,78,463,40659,423296,154.4776699,49312,2503
1378,milko00,359,3861,0.75483871,10,42,9,110,15764,586,623,3.273743017,179,739,76799,565902,222.2006826,92563,5115
1379,YSL#7737377,0,18,0.473684211,0,4,0,0,0,16,2,16.0,0,0,0,15800,0.0,0,38
1380,Bard4547#8673732,0,23,0.214953271,0,7,0,110,0,47,4,47.0,0,6,0,31400,0.0,0,107
1381,Imaxkillr#1061613,2,142,0.840236686,4,16,1,13,219,50,24,50.0,1,9,760,111110,17.64,979,169
1382,i-x-123#5179957,52,424,0.759856631,5,28,1,111,77,305,77,152.5,2,115,654,277493,3.289180328,731,558
1383,NightNight#8549948,2,16,0.842105263,0,3,0,0,0,9,0,9.0,0,0,0,9300,0.0,0,19
1385,dantexcosof459#9647910,2,5,0.263157895,0,2,0,110,0,11,0,11.0,0,3,0,5025,0.0,0,19
1386,ouch#5629126,0,21,0.42,0,3,0,110,0,12,2,12.0,0,5,0,10525,0.0,0,50
1387,ASEREKO#4734593,318,17551,1.74775941,21,152,28,14,36723,1250,4653,1.598465473,782,2125,160172,2836706,156.46416,196895,10042
1388,IIsmrfII#8405901,1,5,0.833333333,2,1,0,0,6,1,0,1.0,0,0,38,900,140.4,44,6
1390,Head a State#5469656,377,5312,1.170301829,14,155,8,111,10368,1309,752,8.232704403,159,556,46957,2966494,61.20045837,57325,4539
1392,Paulpiswager#5109041,439,4074,1.043277849,10,171,6,110,4189,1291,935,20.49206349,63,331,25564,3686306,27.27234702,29753,3905
1393,Westy2Tappy#4689985,862,11844,1.029286521,18,140,7,117,25231,1316,2219,9.467625899,139,1385,119414,2420524,80.73738602,144645,11507
1394,Colester2653#3229142,0,33,1.03125,0,4,0,0,0,14,12,14.0,0,0,0,15203,0.0,0,32
1395,寛永通宝#8091568,686,28952,1.008639911,14,196,12,111,103659,1459,4279,2.029207232,719,7917,312910,4725635,266.9518849,416569,28704
1397,thekingnazgul92#1758862,64,1008,0.674698795,9,20,7,0,4742,129,145,2.15,60,226,23252,156465,308.2418605,27994,1494
1398,CurlierBike7761#6333531,0,9,0.25,0,2,0,110,0,18,2,18.0,0,1,0,4425,0.0,0,36
1399,IBARRA_ANGEL09#7182488,183,1416,0.795058956,10,53,5,110,1042,701,267,28.04,25,93,5122,887735,28.95492154,6164,1781
1400,edog145#9208499,43,821,0.596656977,7,17,10,2,3255,94,133,2.0,47,192,13211,117380,259.9531915,16466,1376
1401,AproposMirror72#2397909,13,24,0.510638298,2,4,0,0,11,22,2,22.0,0,1,36,16405,6.436363636,47,47
1404,Axelfoley247#6929116,747,8839,0.81218414,13,86,10,110,37237,1336,1129,2.936263736,455,1828,195574,1325531,264.3507485,232811,10883
1405,Tommyboy1333#3287158,7,25,0.657894737,2,4,0,110,29,12,4,12.0,0,3,159,12118,16.0,188,38
1407,InsaneHorse#4943336,402,8388,0.868682684,12,147,10,111,15559,1489,1493,8.048648649,185,1405,86338,2675815,86.86823371,101897,9656
1408,zacmagz#9603613,1,0,0.0,0,1,0,0,1,1,0,1.0,0,0,32,0,260.4,33,15
1409,pitbull4240#6308668,0,11,0.203703704,0,4,0,0,0,27,2,27.0,0,0,0,16550,0.0,0,54
1410,GingerlyLamb0#3070025,110,725,0.736040609,7,16,10,110,2143,176,171,3.666666667,48,120,7667,107444,91.15227273,9810,985
1411,iGoLDeN#7371923,544,17023,1.04641013,22,146,14,42,58973,1098,2201,2.881889764,381,4322,255834,2614539,244.1601093,314807,16268
1412,Matboc#1995855,1,67,1.264150943,6,7,1,0,158,16,8,16.0,1,5,615,33125,34.35,773,53
1413,Silverwing87121#6922559,0,43,0.421568627,0,7,1,0,0,46,8,46.0,0,0,0,30725,0.0,0,102
1415,Devileatsome#5266312,6,6,0.142857143,0,4,0,0,0,25,0,25.0,0,0,0,14300,0.0,0,42
1416,nicktheslayer#2770754,1,52,1.04,7,3,2,110,290,6,8,3.0,2,18,1259,9539,177.6,1549,50
1418,Bopa Shons#4723326,588,16477,0.987237867,15,132,23,59,36890,1326,2482,1.846796657,718,2827,106112,2212447,304.29819,143002,16690
1419,jaynokilsyou#2572371,2,7,0.4375,3,1,1,110,27,3,2,3.0,1,3,159,950,174.2,186,16
1420,caxibaxe#1079664,40,963,0.707048458,9,21,5,10,3791,82,109,2.0,41,327,21163,167645,324.8560976,24954,1362
1422,aidanrossmayne#3464198,12,217,0.893004115,8,7,3,0,735,31,26,2.583333333,12,41,4294,33530,263.4774194,5029,243
1423,OscarTheWolf_15#9046250,0,6,0.6,2,1,1,0,24,1,0,1.0,1,1,193,650,265.8,217,10
1424,SoldierOfFortune#8147378,227,6346,0.986322661,12,49,7,15,10598,440,900,2.256410256,195,666,67675,767935,262.74,78273,6434
1425,Prince_Psyz#4730163,0,137,1.10483871,5,11,1,0,161,47,20,47.0,1,12,592,59640,11.85957447,753,124
1427,MerryBloom33395#4172405,127,196,0.728624535,8,19,3,15,120,135,35,33.75,4,4,491,150100,6.897777778,611,269
1428,RPGmestre#8053950,1,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,600,0.0,0,2
1429,MERCURY171#6615650,322,10366,0.94580292,17,104,10,3,23103,662,2628,2.149350649,308,2187,68055,1605342,282.4033233,91158,10960
1430,CBT SK13S#6557711,27,663,0.740782123,7,14,5,0,1961,48,132,2.526315789,19,139,7252,86725,265.6,9213,895
1431,bogdanik77#9077296,2,0,0.0,0,1,0,0,0,5,0,5.0,0,0,0,300,0.0,0,9
1432,Ybarbärka#9387140,35,967,1.163658243,16,17,4,110,3753,60,122,3.157894737,19,185,16300,121085,318.28,20053,831
1434,ЛовкийРыцарь#8212538,125,477,1.101616628,2,28,1,8,18,145,87,24.16666667,6,0,96,278310,1.626206897,114,433
1435,Rocket704#5831068,174,3982,0.882731102,21,51,23,14,10707,384,822,2.327272727,165,1088,68926,846827,162.0640625,79633,4511
1436,ItzChuy1992#9514134,279,6286,0.960281088,11,51,9,8,24956,559,1353,2.227091633,251,1081,83019,833818,293.9109123,107975,6546
1441,Youtz3#1079188,77,1260,0.675241158,8,24,5,2,4786,111,257,3.264705882,34,377,25772,208142,260.227027,30558,1866
1442,NBACT23#9405840,32,576,0.901408451,7,15,4,30,2228,70,96,3.684210526,19,175,8514,100982,199.3714286,10742,639
1444,SlickChainzz#9062190,384,11110,1.011655436,13,94,8,34,44388,718,2210,2.620437956,274,1702,155205,1446232,257.8754875,199593,10982
1445,Poliaknof#7159706,294,20859,0.926860698,13,159,24,111,51034,902,3356,1.66728281,541,3962,174936,3164158,267.5467849,225970,22505
1447,Kalem65,457,21771,1.069407604,23,174,16,111,60473,1312,4068,2.35971223,556,5618,181943,3815413,191.877439,242416,20358
1449,Enigma_Checho7#3752443,0,14,0.608695652,0,3,0,0,0,12,4,12.0,0,0,0,9075,0.0,0,23
1450,Apecs,189,6844,1.233153153,13,65,13,13,27643,457,1138,1.771317829,258,1325,111967,1071813,296.7452954,139610,5550
1453,Chua#5536312,0,13,0.325,0,4,0,0,0,19,2,19.0,0,0,0,13250,0.0,0,40
1454,corn666#8827646,0,108,0.338557994,0,17,0,110,0,130,11,130.0,0,38,0,116033,0.0,0,319
1455,Xx_-azh84-_Xx#6997068,0,23,0.389830508,0,5,0,0,0,27,3,27.0,0,0,0,20950,0.0,0,59
1456,Chegzzz#1531446,118,1971,0.829894737,14,29,6,1,7843,211,267,2.293478261,92,440,51400,294361,297.0,59243,2375
1459,twiztjoints420#8770163,78,801,0.700174825,6,18,5,0,3773,133,149,2.770833333,48,281,22442,130322,262.8045113,26215,1144
1460,darkrocco02#2231200,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,100,0.0,0,2
1462,annslee23,75,268,0.89632107,0,25,0,110,0,133,48,133.0,0,36,0,234490,0.0,0,299
1463,brad_e,164,5320,1.084386466,19,50,7,21,19140,373,990,2.422077922,154,774,83778,791987,272.5302949,102918,4906
1467,Spicy Ramen#4146696,337,6725,0.814164649,11,74,25,33,20683,794,1398,2.646666667,300,1455,104724,1168724,233.088665,125407,8260
1470,WARRIOR HUNTER0#2670324,334,7422,0.803246753,14,92,7,111,19487,1146,1748,3.897959184,294,1117,110959,1407178,159.8162304,130446,9240
1471,sN0ogIn5#3127389,115,3496,0.928552457,11,42,9,25,6097,267,589,2.32173913,115,409,30719,570335,283.6269663,36816,3765
1472,Leo#1331876,151,963,1.024468085,5,59,4,110,376,381,145,63.5,6,17,1478,1004061,3.784251969,1854,940
1473,GHIZZA#5173649,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,2
1474,anon58589014#2976628,307,10001,0.978475687,22,87,9,10,44371,579,1996,2.37295082,244,2203,163901,1339360,312.4518135,208272,10221
1475,Gibbosproperty#8764596,226,6069,0.995407577,15,53,8,111,26883,455,976,2.297979798,198,1480,111285,897820,319.6325275,138168,6097
1476,Sivox61#2517512,2,60,0.857142857,6,3,1,32,274,4,20,2.0,2,21,1112,10410,247.35,1386,70
1478,honey_mods#6363327,0,18,0.514285714,0,2,0,0,0,5,0,5.0,0,0,0,7400,0.0,0,35
1479,UrsoJudeo#5325166,5,41,0.482352941,0,9,1,8,0,43,7,43.0,0,0,4,42144,0.474418605,4,85
1480,Blaze_105,256,4046,0.920172845,15,45,10,110,16204,469,679,2.742690058,171,749,74699,645805,240.2712154,90903,4397
1482,AngryChicken#1420647,3,56,0.965517241,7,4,1,6,221,11,6,11.0,1,11,672,14792,115.0363636,893,58
1483,Bosshogg3393#2717872,0,13,1.3,0,2,0,5,0,6,0,6.0,0,0,0,7325,0.0,0,10
1484,Neon_Frost88#7491656,260,10324,0.854565019,14,127,18,110,35597,906,1413,2.6884273,337,2911,131140,2089837,176.6503311,166737,12081
1485,xHaiisse#8381665,0,3,1.5,0,1,0,0,0,1,1,1.0,0,0,0,1350,0.0,0,2
1486,Soriba_Ps#1553042,396,8376,0.979420019,14,141,6,111,21631,1035,1361,5.75,180,1524,87000,2463950,115.1617391,108631,8552
1487,ImATerrorist#4716532,0,10,0.185185185,0,6,0,0,0,24,1,24.0,0,0,0,22875,0.0,0,54
1489,hounddoghalliday#1907055,561,8959,0.80726257,11,84,10,49,39977,1103,1874,2.166994106,509,1996,209150,1295760,251.6099728,249127,11098
1490,Romeo31#1251008,262,5049,0.921518525,13,69,9,111,8156,946,902,5.031914894,188,687,44073,1114779,125.7260042,52229,5479
1491,Daskunk4799#4027710,32,594,1.102040816,6,13,4,1,1920,61,142,2.346153846,26,109,11289,82815,222.5114754,13209,539
1492,cadorade420,11,187,0.563253012,7,11,3,5,433,75,30,12.5,6,32,2544,65110,75.896,2977,332
1493,BoredKing2#3260114,248,4331,1.413511749,11,182,5,111,3812,1125,850,43.26923077,26,420,14897,4132907,13.27626667,18709,3064
1494,IhateUrFace#9516971,106,2438,0.652569593,8,37,7,111,4432,316,223,3.224489796,98,576,36412,448452,231.0512658,40844,3736
1496,eddy_steph1108#8582315,8,48,0.510638298,5,2,1,0,196,12,9,4.0,3,19,2552,6765,259.6,2748,94
1497,MyPxssyStank#5670238,247,4807,0.909727479,12,46,12,7,12885,504,1032,2.200873362,229,761,40365,695135,194.6154762,53250,5284
1498,Reaxian#5376104,54,2270,0.870732643,19,32,13,7,9333,126,409,1.8,70,864,39494,351548,247.1380952,48827,2607
1500,UCD_281771230356dRkdHOSDJIuc,246,5952,0.988868583,15,53,18,14,23816,546,1061,2.014760148,271,1272,83807,904189,271.0054945,107623,6019
1501,un1x#1174586,0,5,0.357142857,0,2,0,0,0,7,2,7.0,0,0,0,3575,0.0,0,14
1502,Kasai__98#7033288,507,9492,0.762042389,9,90,8,39,16646,1003,1721,2.166306695,463,1040,96260,1383218,277.3884347,112906,12456
1503,Thinfathead89#4174895,48,411,0.38664158,5,11,4,110,1029,93,65,2.384615385,39,86,11138,60235,301.2451613,12167,1063
1504,lukahockey97#2843234,0,18,0.620689655,0,4,0,110,0,16,5,16.0,0,2,0,12975,0.0,0,29
1506,SD#9632134,5,247,1.102678571,8,9,2,0,940,9,48,2.25,4,111,3367,47225,230.4,4307,224
1507,MKZ-NAD_12#1622628,0,1,0.03125,0,1,0,110,0,17,0,17.0,0,2,0,3225,0.0,0,32
1509,ElFistoLibre#2540624,123,3314,1.026323939,12,38,8,14,8374,285,713,1.838709677,155,690,30813,478459,278.5957895,39187,3229
1510,GhostPants#2782866,0,4,0.285714286,0,2,0,110,0,6,3,6.0,0,1,0,3600,0.0,0,14
1513,DuC_zer_slow_734#6051766,28,42,0.68852459,0,8,0,7,0,35,3,35.0,0,0,0,36775,0.0,0,61
1514,Dennis#5489843,139,1737,0.789545455,11,25,8,6,5658,267,422,2.383928571,112,318,23191,223249,157.705618,28849,2200
1515,kylanhigdon,265,10597,1.08966581,15,109,7,83,20312,602,1892,2.936585366,205,1916,56266,1688180,241.8827243,76578,9725
1517,CyborgElephant8#7520780,4,3,0.375,0,1,0,0,0,4,1,4.0,0,0,0,2550,0.0,0,8
1518,Mommyfricker69#6493333,103,3326,1.109406271,16,72,17,111,7289,649,551,6.240384615,104,642,21822,1141755,57.65269646,29111,2998
1520,niko#1425332,0,63,0.431506849,0,7,0,0,0,21,7,21.0,0,23,0,29346,0.0,0,146
1521,HaChuPaCha#1426492,91,3525,1.333711691,21,37,6,111,13023,217,603,2.106796117,103,696,42832,445665,285.1465438,55855,2643
1522,136_Luca#5240574,0,15,0.394736842,0,4,0,110,0,15,1,15.0,0,7,0,15875,0.0,0,38
1524,블랙오크#1986954,29,741,0.83258427,18,18,7,0,3687,78,127,2.888888889,27,173,18657,128124,272.5153846,22344,890
1527,saadAS#2983339,54,1371,0.826899879,10,46,9,111,1053,562,238,14.05,40,546,9145,670898,36.09608541,10198,1658
1528,allison__burgers#5228266,627,9807,0.926499764,10,82,9,110,12773,1348,1486,2.398576512,562,586,73916,1270970,293.7663205,86689,10585
1529,Snakeye48,35,1772,1.240027992,12,43,3,110,4317,278,353,12.63636364,22,241,16414,588766,48.37553957,20731,1429
1532,Mat1_Eo#7432732,233,2379,1.163894325,9,84,6,110,5735,450,504,10.71428571,42,355,25596,1296535,53.42666667,31331,2044
1534,qui1ztah#7416067,13,26,0.361111111,5,2,0,0,115,14,6,14.0,0,3,493,7400,85.02857143,608,72
1536,haCap#7123236,18,296,1.01369863,10,14,3,0,1237,66,56,7.333333333,9,66,7057,91950,122.2636364,8294,292
1537,RaZyGER#8278395,73,2476,1.147358665,13,50,11,111,8653,414,463,6.272727273,66,745,36117,805326,104.2942029,44770,2158
1538,tommmsLT#4964234,72,3052,0.787409701,10,132,5,111,4887,1078,505,21.56,50,575,27516,2208727,35.40222635,32403,3876
1539,s0oReCkLeSsBrAh#6372640,141,3790,1.020188425,13,37,8,33,16559,284,696,2.253968254,126,779,91504,462185,262.2950704,108063,3715
1540,我带你们打#6202600,0,28,0.56,2,8,1,0,23,18,4,18.0,1,0,274,40650,18.4,297,50
1541,BlacKPoisoN#9748555,95,3230,0.911399549,10,74,7,111,7467,507,702,5.571428571,91,1184,40347,1169188,104.5443787,47814,3544
1542,lopes77lucas#2477139,0,1,0.166666667,0,1,0,0,0,3,0,3.0,0,0,0,1250,0.0,0,6
1544,MD2040#9003847,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,600,0.0,0,6
1545,anon67476781#4610800,337,6860,0.994058832,13,52,6,5,16235,748,1081,2.155619597,347,1090,97379,876925,304.6066845,113614,6901
1546,Lekestrell#9382004,37,1018,1.014955135,11,22,6,24,3481,92,162,2.705882353,34,212,14816,178755,203.2108696,18297,1003
1547,EnZo29#7776383,0,6,0.461538462,0,3,0,110,0,6,1,6.0,0,0,0,7600,0.0,0,13
1548,AKR_aaa#5403024,68,2347,0.940304487,9,28,9,12,5195,153,442,1.843373494,83,230,15101,277540,309.9137255,20296,2496
1549,MeaslyPanther81#4102876,23,406,0.821862348,12,10,6,1,1946,65,132,2.321428571,28,119,7159,57364,187.1261538,9105,494
1550,bimo09#9025166,408,7530,0.79987253,12,77,8,28,33533,694,1237,2.67953668,259,1792,157188,1208952,296.2002882,190721,9414
1552,LokiiFN#2367402,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,2
1553,ImranePROPG#2085215,0,51,0.43220339,0,10,0,110,0,71,11,71.0,0,0,0,49935,0.0,0,118
1556,tinytrex594#3976133,0,0,0.0,0,1,0,0,2,1,0,1.0,0,1,7,0,91.2,9,0
1557,TomasFJ_05#2711069,1,35,0.68627451,3,5,1,110,17,10,6,10.0,1,11,63,17126,39.0,80,51
