,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,xpGroup
1240,439,4074,1.043277849,10,171,6,110,4189,1291,935,20.49206349,63,331,25564,3686306,27.27234702,29753,3905,3
1241,862,11844,1.029286521,18,140,7,117,25231,1316,2219,9.467625899,139,1385,119414,2420524,80.73738602,144645,11507,3
1242,0,33,1.03125,0,4,0,0,0,14,12,14.0,0,0,0,15203,0.0,0,32,1
1243,686,28952,1.008639911,14,196,12,111,103659,1459,4279,2.029207232,719,7917,312910,4725635,266.9518849,416569,28704,3
1244,64,1008,0.674698795,9,20,7,0,4742,129,145,2.15,60,226,23252,156465,308.2418605,27994,1494,2
1245,0,9,0.25,0,2,0,110,0,18,2,18.0,0,1,0,4425,0.0,0,36,1
1246,183,1416,0.795058956,10,53,5,110,1042,701,267,28.04,25,93,5122,887735,28.95492154,6164,1781,3
1247,43,821,0.596656977,7,17,10,2,3255,94,133,2.0,47,192,13211,117380,259.9531915,16466,1376,2
1248,13,24,0.510638298,2,4,0,0,11,22,2,22.0,0,1,36,16405,6.436363636,47,47,1
1251,747,8839,0.81218414,13,86,10,110,37237,1336,1129,2.936263736,455,1828,195574,1325531,264.3507485,232811,10883,3
1252,7,25,0.657894737,2,4,0,110,29,12,4,12.0,0,3,159,12118,16.0,188,38,1
1254,402,8388,0.868682684,12,147,10,111,15559,1489,1493,8.048648649,185,1405,86338,2675815,86.86823371,101897,9656,3
1255,1,0,0.0,0,1,0,0,1,1,0,1.0,0,0,32,0,260.4,33,15,1
1256,0,11,0.203703704,0,4,0,0,0,27,2,27.0,0,0,0,16550,0.0,0,54,1
1257,110,725,0.736040609,7,16,10,110,2143,176,171,3.666666667,48,120,7667,107444,91.15227273,9810,985,2
1258,544,17023,1.04641013,22,146,14,42,58973,1098,2201,2.881889764,381,4322,255834,2614539,244.1601093,314807,16268,3
1259,1,67,1.264150943,6,7,1,0,158,16,8,16.0,1,5,615,33125,34.35,773,53,1
1260,0,43,0.421568627,0,7,1,0,0,46,8,46.0,0,0,0,30725,0.0,0,102,1
1261,6,6,0.142857143,0,4,0,0,0,25,0,25.0,0,0,0,14300,0.0,0,42,1
1262,1,52,1.04,7,3,2,110,290,6,8,3.0,2,18,1259,9539,177.6,1549,50,1
1264,588,16477,0.987237867,15,132,23,59,36890,1326,2482,1.846796657,718,2827,106112,2212447,304.29819,143002,16690,3
1265,2,7,0.4375,3,1,1,110,27,3,2,3.0,1,3,159,950,174.2,186,16,1
1266,40,963,0.707048458,9,21,5,10,3791,82,109,2.0,41,327,21163,167645,324.8560976,24954,1362,2
1267,12,217,0.893004115,8,7,3,0,735,31,26,2.583333333,12,41,4294,33530,263.4774194,5029,243,1
1268,0,6,0.6,2,1,1,0,24,1,0,1.0,1,1,193,650,265.8,217,10,1
1269,227,6346,0.986322661,12,49,7,15,10598,440,900,2.256410256,195,666,67675,767935,262.74,78273,6434,3
1270,0,137,1.10483871,5,11,1,0,161,47,20,47.0,1,12,592,59640,11.85957447,753,124,2
1271,127,196,0.728624535,8,19,3,15,120,135,35,33.75,4,4,491,150100,6.897777778,611,269,2
1272,1,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,600,0.0,0,2,1
1273,322,10366,0.94580292,17,104,10,3,23103,662,2628,2.149350649,308,2187,68055,1605342,282.4033233,91158,10960,3
1274,27,663,0.740782123,7,14,5,0,1961,48,132,2.526315789,19,139,7252,86725,265.6,9213,895,2
1275,2,0,0.0,0,1,0,0,0,5,0,5.0,0,0,0,300,0.0,0,9,1
1276,35,967,1.163658243,16,17,4,110,3753,60,122,3.157894737,19,185,16300,121085,318.28,20053,831,2
1277,125,477,1.101616628,2,28,1,8,18,145,87,24.16666667,6,0,96,278310,1.626206897,114,433,2
1278,174,3982,0.882731102,21,51,23,14,10707,384,822,2.327272727,165,1088,68926,846827,162.0640625,79633,4511,3
1279,279,6286,0.960281088,11,51,9,8,24956,559,1353,2.227091633,251,1081,83019,833818,293.9109123,107975,6546,3
1282,77,1260,0.675241158,8,24,5,2,4786,111,257,3.264705882,34,377,25772,208142,260.227027,30558,1866,2
1283,32,576,0.901408451,7,15,4,30,2228,70,96,3.684210526,19,175,8514,100982,199.3714286,10742,639,2
1285,384,11110,1.011655436,13,94,8,34,44388,718,2210,2.620437956,274,1702,155205,1446232,257.8754875,199593,10982,3
1286,294,20859,0.926860698,13,159,24,111,51034,902,3356,1.66728281,541,3962,174936,3164158,267.5467849,225970,22505,3
1287,457,21771,1.069407604,23,174,16,111,60473,1312,4068,2.35971223,556,5618,181943,3815413,191.877439,242416,20358,3
1289,0,14,0.608695652,0,3,0,0,0,12,4,12.0,0,0,0,9075,0.0,0,23,1
1290,189,6844,1.233153153,13,65,13,13,27643,457,1138,1.771317829,258,1325,111967,1071813,296.7452954,139610,5550,3
1293,0,13,0.325,0,4,0,0,0,19,2,19.0,0,0,0,13250,0.0,0,40,1
1294,0,108,0.338557994,0,17,0,110,0,130,11,130.0,0,38,0,116033,0.0,0,319,2
1295,0,23,0.389830508,0,5,0,0,0,27,3,27.0,0,0,0,20950,0.0,0,59,1
1296,118,1971,0.829894737,14,29,6,1,7843,211,267,2.293478261,92,440,51400,294361,297.0,59243,2375,2
1297,78,801,0.700174825,6,18,5,0,3773,133,149,2.770833333,48,281,22442,130322,262.8045113,26215,1144,2
1298,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,100,0.0,0,2,1
1299,75,268,0.89632107,0,25,0,110,0,133,48,133.0,0,36,0,234490,0.0,0,299,2
