,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,xpGroup
1300,164,5320,1.084386466,19,50,7,21,19140,373,990,2.422077922,154,774,83778,791987,272.5302949,102918,4906,3
1304,337,6725,0.814164649,11,74,25,33,20683,794,1398,2.646666667,300,1455,104724,1168724,233.088665,125407,8260,3
1305,334,7422,0.803246753,14,92,7,111,19487,1146,1748,3.897959184,294,1117,110959,1407178,159.8162304,130446,9240,3
1306,115,3496,0.928552457,11,42,9,25,6097,267,589,2.32173913,115,409,30719,570335,283.6269663,36816,3765,3
1307,151,963,1.024468085,5,59,4,110,376,381,145,63.5,6,17,1478,1004061,3.784251969,1854,940,3
1308,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,2,1
1309,307,10001,0.978475687,22,87,9,10,44371,579,1996,2.37295082,244,2203,163901,1339360,312.4518135,208272,10221,3
1310,226,6069,0.995407577,15,53,8,111,26883,455,976,2.297979798,198,1480,111285,897820,319.6325275,138168,6097,3
1311,2,60,0.857142857,6,3,1,32,274,4,20,2.0,2,21,1112,10410,247.35,1386,70,1
1312,0,18,0.514285714,0,2,0,0,0,5,0,5.0,0,0,0,7400,0.0,0,35,1
1313,5,41,0.482352941,0,9,1,8,0,43,7,43.0,0,0,4,42144,0.474418605,4,85,2
1314,256,4046,0.920172845,15,45,10,110,16204,469,679,2.742690058,171,749,74699,645805,240.2712154,90903,4397,3
1316,3,56,0.965517241,7,4,1,6,221,11,6,11.0,1,11,672,14792,115.0363636,893,58,1
1317,0,13,1.3,0,2,0,5,0,6,0,6.0,0,0,0,7325,0.0,0,10,1
1318,260,10324,0.854565019,14,127,18,110,35597,906,1413,2.6884273,337,2911,131140,2089837,176.6503311,166737,12081,3
1319,0,3,1.5,0,1,0,0,0,1,1,1.0,0,0,0,1350,0.0,0,2,1
1320,396,8376,0.979420019,14,141,6,111,21631,1035,1361,5.75,180,1524,87000,2463950,115.1617391,108631,8552,3
1321,0,10,0.185185185,0,6,0,0,0,24,1,24.0,0,0,0,22875,0.0,0,54,1
1322,561,8959,0.80726257,11,84,10,49,39977,1103,1874,2.166994106,509,1996,209150,1295760,251.6099728,249127,11098,3
1323,262,5049,0.921518525,13,69,9,111,8156,946,902,5.031914894,188,687,44073,1114779,125.7260042,52229,5479,3
1324,32,594,1.102040816,6,13,4,1,1920,61,142,2.346153846,26,109,11289,82815,222.5114754,13209,539,2
1325,11,187,0.563253012,7,11,3,5,433,75,30,12.5,6,32,2544,65110,75.896,2977,332,2
1326,248,4331,1.413511749,11,182,5,111,3812,1125,850,43.26923077,26,420,14897,4132907,13.27626667,18709,3064,3
1327,106,2438,0.652569593,8,37,7,111,4432,316,223,3.224489796,98,576,36412,448452,231.0512658,40844,3736,3
1329,8,48,0.510638298,5,2,1,0,196,12,9,4.0,3,19,2552,6765,259.6,2748,94,1
1330,247,4807,0.909727479,12,46,12,7,12885,504,1032,2.200873362,229,761,40365,695135,194.6154762,53250,5284,3
1331,54,2270,0.870732643,19,32,13,7,9333,126,409,1.8,70,864,39494,351548,247.1380952,48827,2607,2
1333,246,5952,0.988868583,15,53,18,14,23816,546,1061,2.014760148,271,1272,83807,904189,271.0054945,107623,6019,3
1334,0,5,0.357142857,0,2,0,0,0,7,2,7.0,0,0,0,3575,0.0,0,14,1
1335,507,9492,0.762042389,9,90,8,39,16646,1003,1721,2.166306695,463,1040,96260,1383218,277.3884347,112906,12456,3
1336,48,411,0.38664158,5,11,4,110,1029,93,65,2.384615385,39,86,11138,60235,301.2451613,12167,1063,2
1337,0,18,0.620689655,0,4,0,110,0,16,5,16.0,0,2,0,12975,0.0,0,29,1
1338,5,247,1.102678571,8,9,2,0,940,9,48,2.25,4,111,3367,47225,230.4,4307,224,2
1339,0,1,0.03125,0,1,0,110,0,17,0,17.0,0,2,0,3225,0.0,0,32,1
1341,123,3314,1.026323939,12,38,8,14,8374,285,713,1.838709677,155,690,30813,478459,278.5957895,39187,3229,3
1342,0,4,0.285714286,0,2,0,110,0,6,3,6.0,0,1,0,3600,0.0,0,14,1
1344,28,42,0.68852459,0,8,0,7,0,35,3,35.0,0,0,0,36775,0.0,0,61,2
1345,139,1737,0.789545455,11,25,8,6,5658,267,422,2.383928571,112,318,23191,223249,157.705618,28849,2200,2
1346,265,10597,1.08966581,15,109,7,83,20312,602,1892,2.936585366,205,1916,56266,1688180,241.8827243,76578,9725,3
1347,4,3,0.375,0,1,0,0,0,4,1,4.0,0,0,0,2550,0.0,0,8,1
1348,103,3326,1.109406271,16,72,17,111,7289,649,551,6.240384615,104,642,21822,1141755,57.65269646,29111,2998,3
1350,0,63,0.431506849,0,7,0,0,0,21,7,21.0,0,23,0,29346,0.0,0,146,1
1351,91,3525,1.333711691,21,37,6,111,13023,217,603,2.106796117,103,696,42832,445665,285.1465438,55855,2643,3
1352,0,15,0.394736842,0,4,0,110,0,15,1,15.0,0,7,0,15875,0.0,0,38,1
1354,29,741,0.83258427,18,18,7,0,3687,78,127,2.888888889,27,173,18657,128124,272.5153846,22344,890,2
1356,54,1371,0.826899879,10,46,9,111,1053,562,238,14.05,40,546,9145,670898,36.09608541,10198,1658,3
1357,627,9807,0.926499764,10,82,9,110,12773,1348,1486,2.398576512,562,586,73916,1270970,293.7663205,86689,10585,3
1358,35,1772,1.240027992,12,43,3,110,4317,278,353,12.63636364,22,241,16414,588766,48.37553957,20731,1429,3
1360,233,2379,1.163894325,9,84,6,110,5735,450,504,10.71428571,42,355,25596,1296535,53.42666667,31331,2044,3
1361,13,26,0.361111111,5,2,0,0,115,14,6,14.0,0,3,493,7400,85.02857143,608,72,1
1362,18,296,1.01369863,10,14,3,0,1237,66,56,7.333333333,9,66,7057,91950,122.2636364,8294,292,2
1363,73,2476,1.147358665,13,50,11,111,8653,414,463,6.272727273,66,745,36117,805326,104.2942029,44770,2158,3
1364,72,3052,0.787409701,10,132,5,111,4887,1078,505,21.56,50,575,27516,2208727,35.40222635,32403,3876,3
1365,141,3790,1.020188425,13,37,8,33,16559,284,696,2.253968254,126,779,91504,462185,262.2950704,108063,3715,3
1366,0,28,0.56,2,8,1,0,23,18,4,18.0,1,0,274,40650,18.4,297,50,2
1367,95,3230,0.911399549,10,74,7,111,7467,507,702,5.571428571,91,1184,40347,1169188,104.5443787,47814,3544,3
1368,0,1,0.166666667,0,1,0,0,0,3,0,3.0,0,0,0,1250,0.0,0,6,1
1370,0,0,0.0,0,1,0,0,0,2,0,2.0,0,0,0,600,0.0,0,6,1
1371,337,6860,0.994058832,13,52,6,5,16235,748,1081,2.155619597,347,1090,97379,876925,304.6066845,113614,6901,3
1372,37,1018,1.014955135,11,22,6,24,3481,92,162,2.705882353,34,212,14816,178755,203.2108696,18297,1003,2
1373,0,6,0.461538462,0,3,0,110,0,6,1,6.0,0,0,0,7600,0.0,0,13,1
1374,68,2347,0.940304487,9,28,9,12,5195,153,442,1.843373494,83,230,15101,277540,309.9137255,20296,2496,2
1375,23,406,0.821862348,12,10,6,1,1946,65,132,2.321428571,28,119,7159,57364,187.1261538,9105,494,2
1376,408,7530,0.79987253,12,77,8,28,33533,694,1237,2.67953668,259,1792,157188,1208952,296.2002882,190721,9414,3
1377,0,0,0.0,0,1,0,0,0,1,0,1.0,0,0,0,200,0.0,0,2,1
1378,0,51,0.43220339,0,10,0,110,0,71,11,71.0,0,0,0,49935,0.0,0,118,2
1381,0,0,0.0,0,1,0,0,2,1,0,1.0,0,1,7,0,91.2,9,0,1
1382,1,35,0.68627451,3,5,1,110,17,10,6,10.0,1,11,63,17126,39.0,80,51,1
